doc_id,negative_word_count,positive_word_count,vander_score,happ_score,Sentiment
109708.html,88.0,153.0,0.9992,4.2772726162861785,0.0
109712.html,26.0,48.0,0.9965,4.390383631713554,0.0
110968.html,132.0,171.0,1.0,4.23847982391783,0.0
110969.html,77.0,106.0,0.9999,4.222929763290648,0.0
110970.html,45.0,50.0,0.9981,4.1441514207862955,0.0
112118.html,31.0,51.0,-0.9615,4.323536825521861,2.0
1969235.html,19.0,31.0,-0.9417,4.569851775249908,2.0
320525.html,24.0,37.0,0.9899,4.328799019607841,0.0
366912.html,28.0,28.0,0.998,4.118057807543175,1.0
777395.html,87.0,127.0,-0.9994,4.206073855243716,2.0
96784.html,33.0,26.0,0.9591,4.61516460025652,2.0
97876.html,6.0,8.0,-0.7954,4.0851079136690664,2.0
102225.html,24.0,34.0,-0.9758,4.473098522167487,0.0
103996.html,42.0,56.0,0.9536,4.547053601911921,2.0
104091.html,16.0,46.0,-0.9993,4.329768196569313,2.0
108507.html,11.0,19.0,-0.9859,4.276766169154229,2.0
112193.html,11.0,18.0,0.9987,4.115040770941433,2.0
198968.html,59.0,59.0,-0.9999,4.238170070197832,2.0
567584.html,63.0,108.0,-0.9999,4.125005638794907,2.0
2434297.html,59.0,67.0,0.9997,4.0899534184823425,0.0
103956.html,38.0,54.0,0.9998,4.638200064745871,1.0
111944.html,73.0,86.0,0.9999,4.403632907955463,0.0
112331.html,213.0,239.0,1.0,4.409230038570027,0.0
112779.html,231.0,263.0,1.0,4.4125243554306826,1.0
142900.html,80.0,119.0,0.9995,4.015903304442037,1.0
145704.html,120.0,197.0,-0.9999,4.124218017705262,0.0
179184.html,64.0,71.0,0.9998,4.188434566537824,1.0
198905.html,94.0,95.0,0.9999,4.308617579755,1.0
747150.html,51.0,36.0,0.9989,4.031626707132019,0.0
2265177.html,105.0,120.0,1.0,4.060832498210449,1.0
107034.html,26.0,21.0,0.6115,4.416257786296118,0.0
109385.html,31.0,26.0,0.9985,4.096581881533098,0.0
109760.html,33.0,35.0,0.9998,4.4915481291059685,2.0
110066.html,115.0,151.0,0.9999,4.54415047258978,2.0
1455046.html,23.0,17.0,0.9991,4.448721409823777,1.0
1981919.html,12.0,10.0,0.9673,4.223415162454879,1.0
2198512.html,96.0,68.0,1.0,4.543247122353273,1.0
2208376.html,32.0,21.0,0.9998,4.579155184097596,1.0
2443181.html,36.0,33.0,1.0,4.407918528252291,2.0
388756.html,29.0,32.0,0.9996,4.189906313645619,1.0
110461.html,139.0,212.0,-0.9996,4.509055145248669,0.0
1447641.html,73.0,103.0,1.0,4.643902744562115,0.0
85748.html,29.0,26.0,0.9963,4.748241301058999,0.0
86060.html,8.0,15.0,0.9083,4.650319148936173,0.0
87116.html,322.0,444.0,1.0,4.786129797129043,2.0
88493.html,36.0,76.0,-0.9999,4.815601650240659,2.0
90897.html,131.0,175.0,1.0,4.742577532405185,0.0
94602.html,77.0,133.0,0.7425,4.56738238141336,0.0
96244.html,29.0,39.0,0.9968,4.532254934760786,0.0
96499.html,72.0,104.0,1.0,4.5713870967742,0.0
91138.html,13.0,17.0,0.9939,4.547467438494936,1.0
105543.html,65.0,73.0,1.0,4.484146076146063,0.0
107049.html,25.0,33.0,0.9945,4.34155384075763,1.0
111671.html,48.0,49.0,0.9997,4.215017659524366,0.0
200813.html,96.0,96.0,1.0,4.1201003099005105,0.0
228222.html,14.0,12.0,0.9991,4.306704707560623,1.0
499046.html,25.0,38.0,0.9932,4.000136014192787,0.0
1882377.html,25.0,19.0,0.9986,4.7281972171808775,1.0
2248781.html,50.0,48.0,0.9992,4.347816449543076,1.0
2764117.html,88.0,127.0,1.0,4.24912337933919,0.0
105172.html,70.0,71.0,0.9996,4.329428304904047,2.0
118303.html,81.0,104.0,0.9998,4.128829171956557,0.0
129180.html,1.0,1.0,0.7845,3.357446808510639,0.0
262145.html,19.0,29.0,-0.992,4.1029654654654655,1.0
557988.html,45.0,39.0,-0.7504,4.291778294348396,1.0
1792890.html,49.0,67.0,-0.9986,4.140765979926041,1.0
2378693.html,31.0,46.0,0.9576,4.251962768110073,0.0
2430090.html,72.0,96.0,0.9991,4.039533116178068,0.0
197267.html,25.0,29.0,0.4083,4.152998477929985,0.0
197429.html,35.0,51.0,0.9983,4.350776353276341,0.0
199293.html,26.0,47.0,-0.998,4.025700808625333,0.0
202680.html,17.0,51.0,-0.9975,4.008843344155842,2.0
566001.html,104.0,149.0,-1.0,4.003316070561579,0.0
749441.html,29.0,30.0,-0.9963,4.113177100770002,2.0
1621062.html,13.0,35.0,-0.4705,4.404778054862844,0.0
2492451.html,25.0,38.0,0.9862,4.070937370385731,2.0
2572237.html,53.0,56.0,0.9999,4.192279043913285,0.0
2592732.html,40.0,42.0,-0.9921,4.288492063492073,0.0
111455.html,58.0,127.0,-1.0,3.8135996908809897,1.0
112881.html,116.0,200.0,1.0,4.2246499920512965,0.0
118144.html,196.0,327.0,-1.0,4.198493437812382,1.0
118145.html,51.0,80.0,-0.9999,3.681097498723841,1.0
145817.html,183.0,334.0,-1.0,4.018842720278699,0.0
335939.html,53.0,90.0,0.9937,4.2794430992736086,0.0
1412076.html,40.0,51.0,-0.9069,4.135264922870555,2.0
1638784.html,61.0,90.0,0.998,4.272399065299235,1.0
1804986.html,82.0,133.0,0.9997,4.234063876651983,0.0
2480913.html,42.0,60.0,-0.9856,4.0402212078651685,0.0
104894.html,196.0,355.0,1.0,4.443900956284162,0.0
108321.html,29.0,35.0,0.9997,4.29748137931033,2.0
111203.html,61.0,48.0,0.9997,4.053407260562508,1.0
111838.html,106.0,132.0,0.9878,4.163675142585557,2.0
112536.html,75.0,97.0,0.9996,4.338344994275541,1.0
112892.html,114.0,162.0,0.9999,4.2534977276552635,1.0
421135.html,33.0,27.0,0.9982,4.336128620102218,1.0
1737000.html,22.0,29.0,0.9916,4.314504559270517,1.0
2153445.html,54.0,72.0,0.9989,4.322526754942859,0.0
2379722.html,48.0,56.0,0.9997,4.155017199017195,2.0
