filename,sentiment
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\104324.html,2
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\104373.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\106251.html,1
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\106281.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\106658.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\108135.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\109831.html,1
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\111464.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\112194.html,1
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\dcd_html\1793839.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\ca1_html\203280.html,2
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\dcd_html\2142765.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\2516136.html,2
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\ca1_html\362202.html,2
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\ca1_html\572661.html,2
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\799993.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\97782.html,2
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\98060.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\98351.html,0
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\98854.html,2
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\111505.html,1
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\117870.html,1
C:\Users\adars\Downloads\Temp\Docs\TypesOfHtml\scotus_html\131166.html,1
